rowid,lujvo,lujvo_parsed,lujvo_for_split,lujvo_sequence,lujvo_len
0,ba'argau,ba'a-gau,ba'a,0,2
1,ba'argau,ba'a-gau,gau,1,2
2,ba'armo'a,ba'a-mo'a,ba'a,0,2
3,ba'armo'a,ba'a-mo'a,mo'a,1,2
4,ba'orgau,ba'o-gau,ba'o,0,2
5,ba'orgau,ba'o-gau,gau,1,2
6,ba'orzu'e,ba'o-zu'e,ba'o,0,2
7,ba'orzu'e,ba'o-zu'e,zu'e,1,2
8,ba'ostu,ba'o-stu,ba'o,0,2
9,ba'ostu,ba'o-stu,stu,1,2
10,ba'ucpi,ba'u-cpi,ba'u,0,2
11,ba'ucpi,ba'u-cpi,cpi,1,2
12,ba'urdu'i,ba'u-du'i,ba'u,0,2
13,ba'urdu'i,ba'u-du'i,du'i,1,2
14,ba'urdu'u,ba'u-du'u,ba'u,0,2
15,ba'urdu'u,ba'u-du'u,du'u,1,2
16,ba'urnoi,ba'u-noi,ba'u,0,2
17,ba'urnoi,ba'u-noi,noi,1,2
18,ba'urslepoi,ba'u-sle-poi,ba'u,0,3
19,ba'urslepoi,ba'u-sle-poi,sle,1,3
20,ba'urslepoi,ba'u-sle-poi,poi,2,3
21,ba'urslepoimi'u,ba'u-sle-poi-mi'u,ba'u,0,4
22,ba'urslepoimi'u,ba'u-sle-poi-mi'u,sle,1,4
23,ba'urslepoimi'u,ba'u-sle-poi-mi'u,poi,2,4
24,ba'urslepoimi'u,ba'u-sle-poi-mi'u,mi'u,3,4
25,ba'urtadji,ba'u-tadji,ba'u,0,2
26,ba'urtadji,ba'u-tadji,tadji,1,2
27,ba'usku,ba'u-sku,ba'u,0,2
28,ba'usku,ba'u-sku,sku,1,2
29,ba'usle,ba'u-sle,ba'u,0,2
30,ba'usle,ba'u-sle,sle,1,2
31,ba'usna,ba'u-sna,ba'u,0,2
32,ba'usna,ba'u-sna,sna,1,2
33,ba'usni,ba'u-sni,ba'u,0,2
34,ba'usni,ba'u-sni,sni,1,2
35,babranti,bab-ranti,bab,0,2
36,babranti,bab-ranti,ranti,1,2
37,babysenta,bab-senta,bab,0,2
38,babysenta,bab-senta,senta,1,2
39,batfendi,bat-fendi,bat,0,2
40,batfendi,bat-fendi,fendi,1,2
41,backemselrerkru,bac-kem-sel-rer-kru,bac,0,5
42,backemselrerkru,bac-kem-sel-rer-kru,kem,1,5
43,backemselrerkru,bac-kem-sel-rer-kru,sel,2,5
44,backemselrerkru,bac-kem-sel-rer-kru,rer,3,5
45,backemselrerkru,bac-kem-sel-rer-kru,kru,4,5
46,backla,bac-kla,bac,0,2
47,backla,bac-kla,kla,1,2
48,backru,bac-kru,bac,0,2
49,backru,bac-kru,kru,1,2
50,bacterdi,bac-terdi,bac,0,2
51,bacterdi,bac-terdi,terdi,1,2
52,bacybau,bac-bau,bac,0,2
53,bacybau,bac-bau,bau,1,2
54,bacycripu,bac-cripu,bac,0,2
55,bacycripu,bac-cripu,cripu,1,2
56,bacycta,bac-cta,bac,0,2
57,bacycta,bac-cta,cta,1,2
58,bacycu'e,bac-cu'e,bac,0,2
59,bacycu'e,bac-cu'e,cu'e,1,2
60,brabracrida,bra-bra-crida,bra,0,3
61,brabracrida,bra-bra-crida,bra,1,3
62,brabracrida,bra-bra-crida,crida,2,3
63,badbe'uze'a,bad-be'u-ze'a,bad,0,3
64,badbe'uze'a,bad-be'u-ze'a,be'u,1,3
65,badbe'uze'a,bad-be'u-ze'a,ze'a,2,3
66,brabi'o,bra-bi'o,bra,0,2
67,brabi'o,bra-bi'o,bi'o,1,2
68,badbra,bad-bra,bad,0,2
69,badbra,bad-bra,bra,1,2
70,bragai,bra-gai,bra,0,2
71,bragai,bra-gai,gai,1,2
72,braje'a,bra-je'a,bra,0,2
73,braje'a,bra-je'a,je'a,1,2
74,bralai,bra-lai,bra,0,2
75,bralai,bra-lai,lai,1,2
76,badmakfa,bad-makfa,bad,0,2
77,badmakfa,bad-makfa,makfa,1,2
78,bramau,bra-mau,bra,0,2
79,bramau,bra-mau,mau,1,2
80,brari'a,bra-ri'a,bra,0,2
81,brari'a,bra-ri'a,ri'a,1,2
82,braro'i,bra-ro'i,bra,0,2
83,braro'i,bra-ro'i,ro'i,1,2
84,bravau,bra-vau,bra,0,2
85,bravau,bra-vau,vau,1,2
86,badyca'i,bad-ca'i,bad,0,2
87,badyca'i,bad-ca'i,ca'i,1,2
88,bradegji,bra-degji,bra,0,2
89,bradegji,bra-degji,degji,1,2
90,badydi'u,bad-di'u,bad,0,2
91,badydi'u,bad-di'u,di'u,1,2
92,bradzu,bra-dzu,bra,0,2
93,bradzu,bra-dzu,dzu,1,2
94,badyfenra,bad-fenra,bad,0,2
95,badyfenra,bad-fenra,fenra,1,2
96,badyjafyde'i,bad-jaf-de'i,bad,0,3
97,badyjafyde'i,bad-jaf-de'i,jaf,1,3
98,badyjafyde'i,bad-jaf-de'i,de'i,2,3
99,badyjafyde'icalku,bad-jaf-de'i-calku,bad,0,4
100,badyjafyde'icalku,bad-jaf-de'i-calku,jaf,1,4
101,badyjafyde'icalku,bad-jaf-de'i-calku,de'i,2,4
102,badyjafyde'icalku,bad-jaf-de'i-calku,calku,3,4
103,brakruca,bra-kruca,bra,0,2
104,brakruca,bra-kruca,kruca,1,2
105,braplu,bra-plu,bra,0,2
106,braplu,bra-plu,plu,1,2
107,brasa'o,bra-sa'o,bra,0,2
108,brasa'o,bra-sa'o,sa'o,1,2
109,badytei,bad-tei,bad,0,2
110,badytei,bad-tei,tei,1,2
111,badyxu'e,bad-xu'e,bad,0,2
112,badyxu'e,bad-xu'e,xu'e,1,2
113,badzu'e,bad-zu'e,bad,0,2
114,badzu'e,bad-zu'e,zu'e,1,2
115,bagyce'a,bag-ce'a,bag,0,2
116,bagyce'a,bag-ce'a,ce'a,1,2
117,bagyxai,bag-xai,bag,0,2
118,bagyxai,bag-xai,xai,1,2
119,baikla,bai-kla,bai,0,2
120,baikla,bai-kla,kla,1,2
121,bairga'ijecta,bai-ga'i-jecta,bai,0,3
122,bairga'ijecta,bai-ga'i-jecta,ga'i,1,3
123,bairga'ijecta,bai-ga'i-jecta,jecta,2,3
124,baitro,bai-tro,bai,0,2
125,baitro,bai-tro,tro,1,2
126,bajli'a,baj-li'a,baj,0,2
127,bajli'a,baj-li'a,li'a,1,2
128,bajyjvi,baj-jvi,baj,0,2
129,bajyjvi,baj-jvi,jvi,1,2
130,bajykla,baj-kla,baj,0,2
131,bajykla,baj-kla,kla,1,2
132,bajystu,baj-stu,baj,0,2
133,bajystu,baj-stu,stu,1,2
134,bakcange,bak-cange,bak,0,2
135,bakcange,bak-cange,cange,1,2
136,bakcatra,bak-catra,bak,0,2
137,bakcatra,bak-catra,catra,1,2
138,bakcindu,bak-cindu,bak,0,2
139,bakcindu,bak-cindu,cindu,1,2
140,baknakni,bak-nakni,bak,0,2
141,baknakni,bak-nakni,nakni,1,2
142,bakplixa,bak-plixa,bak,0,2
143,bakplixa,bak-plixa,plixa,1,2
144,bakre'u,bak-re'u,bak,0,2
145,bakre'u,bak-re'u,re'u,1,2
146,bakrecpa'o,bak-rec-pa'o,bak,0,3
147,bakrecpa'o,bak-rec-pa'o,rec,1,3
148,bakrecpa'o,bak-rec-pa'o,pa'o,2,3
149,bakryta'o,bakr-ta'o,bakr,0,2
150,bakryta'o,bakr-ta'o,ta'o,1,2
151,bakskapi,bak-skapi,bak,0,2
152,bakskapi,bak-skapi,skapi,1,2
153,baktsupa'o,bak-tsu-pa'o,bak,0,3
154,baktsupa'o,bak-tsu-pa'o,tsu,1,3
155,baktsupa'o,bak-tsu-pa'o,pa'o,2,3
156,baktydekpu,bakt-dekpu,bakt,0,2
157,baktydekpu,bakt-dekpu,dekpu,1,2
158,bakyjanbe,bak-janbe,bak,0,2
159,bakyjanbe,bak-janbe,janbe,1,2
160,bakykakpa,bak-kakpa,bak,0,2
161,bakykakpa,bak-kakpa,kakpa,1,2
162,balba'i,bal-ba'i,bal,0,2
163,balba'i,bal-ba'i,ba'i,1,2
164,balbi'e,bal-bi'e,bal,0,2
165,balbi'e,bal-bi'e,bi'e,1,2
166,balbisli,bal-bisli,bal,0,2
167,balbisli,bal-bisli,bisli,1,2
168,balcei,bal-cei,bal,0,2
169,balcei,bal-cei,cei,1,2
170,balcu'e,bal-cu'e,bal,0,2
171,balcu'e,bal-cu'e,cu'e,1,2
172,baldakyxa'i,bal-dak-xa'i,bal,0,3
173,baldakyxa'i,bal-dak-xa'i,dak,1,3
174,baldakyxa'i,bal-dak-xa'i,xa'i,2,3
175,baldakyxa'i,bal-dak-xa'i,bal,0,3
176,baldakyxa'i,bal-dak-xa'i,dak,1,3
177,baldakyxa'i,bal-dak-xa'i,xa'i,2,3
178,baldau,bal-dau,bal,0,2
179,baldau,bal-dau,dau,1,2
180,baljamna,bal-jamna,bal,0,2
181,baljamna,bal-jamna,jamna,1,2
182,balku'a,bal-ku'a,bal,0,2
183,balku'a,bal-ku'a,ku'a,1,2
184,balnunjamna,bal-nun-jamna,bal,0,3
185,balnunjamna,bal-nun-jamna,nun,1,3
186,balnunjamna,bal-nun-jamna,jamna,2,3
187,balnunjvi,bal-nun-jvi,bal,0,3
188,balnunjvi,bal-nun-jvi,nun,1,3
189,balnunjvi,bal-nun-jvi,jvi,2,3
190,balrai,bal-rai,bal,0,2
191,balrai,bal-rai,rai,1,2
192,balrespa,bal-respa,bal,0,2
193,balrespa,bal-respa,respa,1,2
194,balsoi,bal-soi,bal,0,2
195,balsoi,bal-soi,soi,1,2
196,bavyspe,bav-spe,bav,0,2
197,bavyspe,bav-spe,spe,1,2
198,baltutra,bal-tutra,bal,0,2
199,baltutra,bal-tutra,tutra,1,2
200,bavyvla,bav-vla,bav,0,2
201,bavyvla,bav-vla,vla,1,2
202,balzgibe'e,bal-zgi-be'e,bal,0,3
203,balzgibe'e,bal-zgi-be'e,zgi,1,3
204,balzgibe'e,bal-zgi-be'e,be'e,2,3
205,bambai,bam-bai,bam,0,2
206,bambai,bam-bai,bai,1,2
207,bamvinji,bam-vinji,bam,0,2
208,bamvinji,bam-vinji,vinji,1,2
209,baucre,bau-cre,bau,0,2
210,baucre,bau-cre,cre,1,2
211,bandersna,ban-der-sna,ban,0,3
212,bandersna,ban-der-sna,der,1,3
213,bandersna,ban-der-sna,sna,2,3
214,bangau,ban-gau,ban,0,2
215,bangau,ban-gau,gau,1,2
216,banja'a,ban-ja'a,ban,0,2
217,banja'a,ban-ja'a,ja'a,1,2
218,banjamna,ban-jamna,ban,0,2
219,banjamna,ban-jamna,jamna,1,2
220,banjikske,ban-jik-ske,ban,0,3
221,banjikske,ban-jik-ske,jik,1,3
222,banjikske,ban-jik-ske,ske,2,3
223,bankei,ban-kei,ban,0,2
224,bankei,ban-kei,kei,1,2
225,bankisto,ban-kisto,ban,0,2
226,bankisto,ban-kisto,kisto,1,2
227,banpi'o,ban-pi'o,ban,0,2
228,banpi'o,ban-pi'o,pi'o,1,2
229,banpliske,ban-pli-ske,ban,0,3
230,banpliske,ban-pli-ske,pli,1,3
231,banpliske,ban-pli-ske,ske,2,3
232,banrau,ban-rau,ban,0,2
233,banrau,ban-rau,rau,1,2
234,banri'a,ban-ri'a,ban,0,2
235,banri'a,ban-ri'a,ri'a,1,2
236,banskecre,ban-ske-cre,ban,0,3
237,banskecre,ban-ske-cre,ske,1,3
238,banskecre,ban-ske-cre,cre,2,3
239,banskepre,ban-ske-pre,ban,0,3
240,banskepre,ban-ske-pre,ske,1,3
241,banskepre,ban-ske-pre,pre,2,3
242,bansketadni,ban-ske-tadni,ban,0,3
243,bansketadni,ban-ske-tadni,ske,1,3
244,bansketadni,ban-ske-tadni,tadni,2,3
245,banta'a,ban-ta'a,ban,0,2
246,banta'a,ban-ta'a,ta'a,1,2
247,bantadni,ban-tadni,ban,0,2
248,bantadni,ban-tadni,tadni,1,2
249,banvelski,ban-vel-ski,ban,0,3
250,banvelski,ban-vel-ski,vel,1,3
251,banvelski,ban-vel-ski,ski,2,3
252,banvelsku,ban-vel-sku,ban,0,3
253,banvelsku,ban-vel-sku,vel,1,3
254,banvelsku,ban-vel-sku,sku,2,3
255,baplai,bap-lai,bap,0,2
256,baplai,bap-lai,lai,1,2
257,baple'i,bap-le'i,bap,0,2
258,baple'i,bap-le'i,le'i,1,2
259,baprau,bap-rau,bap,0,2
260,baprau,bap-rau,rau,1,2
261,barca'e,bar-ca'e,bar,0,2
262,barca'e,bar-ca'e,ca'e,1,2
263,barcpa,bar-cpa,bar,0,2
264,barcpa,bar-cpa,cpa,1,2
265,bardji,bar-dji,bar,0,2
266,bardji,bar-dji,dji,1,2
267,barfa'e,bar-fa'e,bar,0,2
268,barfa'e,bar-fa'e,fa'e,1,2
269,barfle,bar-fle,bar,0,2
270,barfle,bar-fle,fle,1,2
271,barjygu'a,barj-gu'a,barj,0,2
272,barjygu'a,barj-gu'a,gu'a,1,2
273,barjyja'a,barj-ja'a,barj,0,2
274,barjyja'a,barj-ja'a,ja'a,1,2
275,barjyku'i,barj-ku'i,barj,0,2
276,barjyku'i,barj-ku'i,ku'i,1,2
277,barjypre,barj-pre,barj,0,2
278,barjypre,barj-pre,pre,1,2
279,barjyse'u,barj-se'u,barj,0,2
280,barjyse'u,barj-se'u,se'u,1,2
281,barkalri,bar-kalri,bar,0,2
282,barkalri,bar-kalri,kalri,1,2
283,barkalyle'o,bar-kal-le'o,bar,0,3
284,barkalyle'o,bar-kal-le'o,kal,1,3
285,barkalyle'o,bar-kal-le'o,le'o,2,3
286,barkla,bar-kla,bar,0,2
287,barkla,bar-kla,kla,1,2
288,ba'oklo,ba'o-klo,ba'o,0,2
289,ba'oklo,ba'o-klo,klo,1,2
290,barle'a,bar-le'a,bar,0,2
291,barle'a,bar-le'a,le'a,1,2
292,barli'a,bar-li'a,bar,0,2
293,barli'a,bar-li'a,li'a,1,2
294,barsamymo'i,bar-sam-mo'i,bar,0,3
295,barsamymo'i,bar-sam-mo'i,sam,1,3
296,barsamymo'i,bar-sam-mo'i,mo'i,2,3
297,ba'orselklo,ba'o-sel-klo,ba'o,0,3
298,ba'orselklo,ba'o-sel-klo,sel,1,3
299,ba'orselklo,ba'o-sel-klo,klo,2,3
300,barsenta,bar-senta,bar,0,2
301,barsenta,bar-senta,senta,1,2
302,ba'ostu,ba'o-stu,ba'o,0,2
303,ba'ostu,ba'o-stu,stu,1,2
304,ba'orstuna,ba'o-stuna,ba'o,0,2
305,ba'orstuna,ba'o-stuna,stuna,1,2
306,bartca,bar-tca,bar,0,2
307,bartca,bar-tca,tca,1,2
308,barterzga,bar-ter-zga,bar,0,3
309,barterzga,bar-ter-zga,ter,1,3
310,barterzga,bar-ter-zga,zga,2,3
311,ba'onri'a,ba'o-ri'a,ba'o,0,2
312,ba'onri'a,ba'o-ri'a,ri'a,1,2
313,basme'e,bas-me'e,bas,0,2
314,basme'e,bas-me'e,me'e,1,2
315,basri'a,bas-ri'a,bas,0,2
316,basri'a,bas-ri'a,ri'a,1,2
317,basxau,bas-xau,bas,0,2
318,basxau,bas-xau,xau,1,2
319,basygau,bas-gau,bas,0,2
320,basygau,bas-gau,gau,1,2
321,basyrapli,bas-rapli,bas,0,2
322,basyrapli,bas-rapli,rapli,1,2
323,basysakta,bas-sakta,bas,0,2
324,basysakta,bas-sakta,sakta,1,2
325,basyvi'a,bas-vi'a,bas,0,2
326,basyvi'a,bas-vi'a,vi'a,1,2
327,basyvla,bas-vla,bas,0,2
328,basyvla,bas-vla,vla,1,2
329,barca'e,bar-ca'e,bar,0,2
330,barca'e,bar-ca'e,ca'e,1,2
331,batcinki,bat-cinki,bat,0,2
332,batcinki,bat-cinki,cinki,1,2
333,batfendi,bat-fendi,bat,0,2
334,batfendi,bat-fendi,fendi,1,2
335,barfle,bar-fle,bar,0,2
336,barfle,bar-fle,fle,1,2
337,batka'a,bat-ka'a,bat,0,2
338,batka'a,bat-ka'a,ka'a,1,2
339,barkalri,bar-kalri,bar,0,2
340,barkalri,bar-kalri,kalri,1,2
341,barkla,bar-kla,bar,0,2
342,barkla,bar-kla,kla,1,2
343,batklanoi,bat-kla-noi,bat,0,3
344,batklanoi,bat-kla-noi,kla,1,3
345,batklanoi,bat-kla-noi,noi,2,3
346,batkyci'a,batk-ci'a,batk,0,2
347,batkyci'a,batk-ci'a,ci'a,1,2
348,batkyke'a,batk-ke'a,batk,0,2
349,batkyke'a,batk-ke'a,ke'a,1,2
350,batkyta'o,batk-ta'o,batk,0,2
351,batkyta'o,batk-ta'o,ta'o,1,2
352,barli'a,bar-li'a,bar,0,2
353,barli'a,bar-li'a,li'a,1,2
354,batygre,bat-gre,bat,0,2
355,batygre,bat-gre,gre,1,2
356,barterzga,bar-ter-zga,bar,0,3
357,barterzga,bar-ter-zga,ter,1,3
358,barterzga,bar-ter-zga,zga,2,3
359,batyvoi,bat-voi,bat,0,2
360,batyvoi,bat-voi,voi,1,2
361,baucmu,bau-cmu,bau,0,2
362,baucmu,bau-cmu,cmu,1,2
363,baucre,bau-cre,bau,0,2
364,baucre,bau-cre,cre,1,2
365,baugla,bau-gla,bau,0,2
366,baugla,bau-gla,gla,1,2
367,baukle,bau-kle,bau,0,2
368,baukle,bau-kle,kle,1,2
369,baupli,bau-pli,bau,0,2
370,baupli,bau-pli,pli,1,2
371,bauska,bau-ska,bau,0,2
372,bauska,bau-ska,ska,1,2
373,bauske,bau-ske,bau,0,2
374,bauske,bau-ske,ske,1,2
375,bausku,bau-sku,bau,0,2
376,bausku,bau-sku,sku,1,2
377,bauspi,bau-spi,bau,0,2
378,bauspi,bau-spi,spi,1,2
379,bauzba,bau-zba,bau,0,2
380,bauzba,bau-zba,zba,1,2
381,bauzgu,bau-zgu,bau,0,2
382,bauzgu,bau-zgu,zgu,1,2
383,bavdu'e,bav-du'e,bav,0,2
384,bavdu'e,bav-du'e,du'e,1,2
385,bavla'i,bav-la'i,bav,0,2
386,bavla'i,bav-la'i,la'i,1,2
387,bavla'i,bav-la'i,bav,0,2
388,bavla'i,bav-la'i,la'i,1,2
389,bavla'ima'i,bav-la'i-ma'i,bav,0,3
390,bavla'ima'i,bav-la'i-ma'i,la'i,1,3
391,bavla'ima'i,bav-la'i-ma'i,ma'i,2,3
392,bavlambavlamna'a,bav-lam-bav-lam-na'a,bav,0,5
393,bavlambavlamna'a,bav-lam-bav-lam-na'a,lam,1,5
394,bavlambavlamna'a,bav-lam-bav-lam-na'a,bav,2,5
395,bavlambavlamna'a,bav-lam-bav-lam-na'a,lam,3,5
396,bavlambavlamna'a,bav-lam-bav-lam-na'a,na'a,4,5
397,bavlamcerni,bav-lam-cerni,bav,0,3
398,bavlamcerni,bav-lam-cerni,lam,1,3
