gismu,theme_code,meaning,definition
girzu,1.1,(group),x1 is group/cluster/team showing common property (ka) x2 due to set x3 linked by relations x4.
gunma,1.1,(jointly ‘mass’),"x1 is a mass/team/aggregate/whole, together composed of components x2, considered jointly."
cmima,1.1,(member),x1 is a member/element of set x2; x1 belongs to group x2; x1 is amid/among/amongst group x2.
pagbu,1.1,(part),x1 is a part/component/piece/portion/segment of x2 [where x2 is a whole/mass]; x2 is partly x1.
klesi,1.1,(class),x1 (mass/si'o) is a class/category/subgroup/subset within x2 with defining property x3 (ka).
jbini,1.1,(between),x1 is between/among set of points/bounds/limits x2 (set)/amidst mass x2 in property x3 (ka).
cuxna,1.1,(choose),x1 chooses/selects x2 [choice] from set/sequence of alternatives x3 (complete set).
mupli,1.1,(example),x1 is an example/sample/specimen/instance/case/illustration of common property(s) x2 of set x3.
basti,1.1,(replace ‘substitute’),x1 replaces/substitutes for/instead of x2 in circumstance x3; x1 is a replacement/substitute.
kampu,1.1,(common),x1 (property - ka) is common/general/universal among members of set x2 (complete set).
fadni,1.1,(ordinary),x1 [member] is ordinary/common/typical/usual in property x2 (ka) among members of x3 (set).
rirci,1.1,(rare),x1 [member] is rare/unusual/uncommon/atypical in property x2 (ka) among members of x3 (set).
ralju,1.1,(principal),"x1 is principal/chief/leader/main/[staple], most significant among x2 (set) in property x3 (ka)."
steci,1.1,(specific ‘special’),x1 (ka) is specific/particular/specialized/[special]/a defining property of x2 among x3 (set).
manfo,1.1,(uniform),x1 (object/event) is uniform/homogeneous in property x2 (ka).
vrici,1.1,(miscellaneous ‘various’),x1 (set/mass/ind.) is miscellaneous/various/assorted in property x2 (ka).
cnano,1.1,(norm),x1 [value] is a norm/average in property/amount x2 (ka/ni) among x3(s) (set) by standard x4.
bende,1.1,(crew ‘band’),x1 is a crew/team/gang/squad/band of persons x2 directed/led by x3 organized for purpose x4.
stura,1.2,(structure),x1 is a structure/arrangement/organization of x2 [set/system/complexity].
ciste,1.2,(system),x1 (mass) is a system interrelated by structure x2 among components x3 (set) displaying x4 (ka).
morna,1.2,(pattern ‘form’),x1 is/reflects/represents a pattern of forms/events x2 arranged according to structure x3.
ganzu,1.2,(organize),x1 organizes x2 [relative chaos] into x3 [ordered/organized result] by system/principle(s) x4.
cnici,1.2,(orderly ‘neat’),x1 is orderly/neat/ordered in property/quantity x2 (ka/ni).
kalsa,1.2,(chaotic),x1 is chaotic/disordered in property/aspect x2 (ka).
cunso,1.2,(random ‘chance’),"x1 is random/fortuitous/unpredictable under conditions x2, with probability distribution x3."
